USAF,WBAN,STATION_NAME,CTRY,ST,CALL,LAT,LNG,ELEV(M),BEGIN,END
992470,99999,ENVIRONM BUOY 41021          ,US,  ,    ,31.9,-80.900,+0003.0,19820310,19940913
992480,99999,HALF MOON BAY - 24NM SOUTH SO,US,  ,    ,37.36,-122.880,+0000.0,19810103,20081231
992490,99999,BODEGA BAY - 48NM NORTH NORTH,US,  ,    ,38.23,-123.320,+0000.0,19810717,20081231
992500,99999,PT ARENA - 19NM NORTH OF POIN,US,  ,    ,39.22,-123.970,+0000.0,19820208,20081231
992510,99999,ENVIRONM BUOY 46015          ,US,  ,    ,62.033,-168.983,+0003.0,19920305,19950408
992520,99999,DATA BUOY 46016              ,US,  ,    ,63.3,-170.300,+0003.0,19821209,19940709
992530,99999,DATA BUOY 51027              ,US,  ,    ,20.4,-157.100,+0003.0,19821209,19921105
992540,99999,DATA BUOY 46018              ,US,  ,    ,60.3,-177.000,+0003.0,19820312,20030703
992550,99999,DATA BUOY 46019              ,US,  ,    ,57.2,-170.300,+0003.0,19821209,19970406
992560,99999,DATA BUOY 46020              ,US,  ,    ,55.9,-168.000,+0003.0,19821209,20040926
992570,99999,DATA BUOY 46021              ,US,  ,    ,57.7,-160.000,+0003.0,19820712,19940905
992580,99999,PT ARGUELLO - 17NM WEST NORTH,US,  ,    ,34.71,-120.970,+0000.0,19821209,20081231
992590,99999,ENVIRONM BUOY 46024          ,US,  ,    ,32.8,-119.500,+0003.0,19821209,19960314
992600,99999,SANTA MONICA BASIN - 33NM WES,US,  ,    ,33.75,-119.080,+0000.0,19821209,20081231
992610,99999,W HAWAII 205 NM SOUTHWEST OF ,US,  ,    ,19.16,-160.740,+0000.0,19780821,20081231
992620,99999,SE HAWAII 185 NM SOUTHEAST OF,US,  ,    ,17.52,-152.480,+0000.0,19850312,20081231
992630,99999,DATA BUOY 44003              ,US,  ,    ,40.8,-68.500,+0003.0,19780206,20080830
992640,99999,SAN FRANCISCO - 18NM WEST OF ,US,  ,    ,37.75,-122.820,+0000.0,19780429,20081231
992650,99999,BLUNTS REEF                  ,US,  ,    ,40.42,-124.530,+0003.0,19841018,20041209
992660,99999,DATA BUOY 46031              ,US,  ,    ,55.5,-161.700,+0003.0,19850312,19950119
992670,99999,ENVIRONM BUOY 62106          ,US,  ,    ,56.983,-9.883,+0000.0,19850312,20080815
992680,99999,DATA BUOY 46033              ,US,  ,    ,55.8,-159.800,+0003.0,19850312,19940419
992690,99999,ENVIRONM BUOY 46034          ,US,  ,    ,55.1,-163.100,+0003.0,19850312,19950403
992710,99999,W GULF 240 NM SOUTH-SOUTHEAST,US,  ,    ,25.17,-94.420,+0000.0,19771002,20081231
992720,99999,DATA BUOY 42015              ,US,  ,    ,30.1,-88.200,+0003.0,19780201,19960316
992730,99999,BUOY 41004 / EDISTO - 41 NM S,US,  ,    ,32.5,-79.100,+0000.0,19790213,20081231
992740,99999,EEL RIVER - 17NM WEST-SOUTHWE,US,  ,    ,40.78,-124.540,+0000.0,19821209,20081231
992750,99999,DATA BUOY 46043              ,US,  ,    ,46.9,-124.200,+0012.0,19871110,20031210
992760,99999,GULF OF MAINE 78 NM EAST OF P,US,  ,    ,43.204,-69.128,+0000.0,19820208,20081231
992770,99999,ENVIRONM BUOY 44006          ,US,  ,    ,36.3,-75.400,+0003.0,19820208,19950201
992780,99999,PORTLAND 12 NM SOUTHEAST OF P,US,  ,    ,43.531,-70.144,+0000.0,19820514,20081231
992790,99999,NANTUCKET 54NM SOUTHEAST OF N,US,  ,    ,40.5,-69.430,+0000.0,19821209,20081231
992800,99999,ENVIRONM BUOY 45009          ,US,  ,    ,41.1,-82.000,+0003.0,19861002,20020530
992810,99999,ENVIRONM BOUY 46027          ,US,  ,    ,41.833,-124.400,+0003.0,19850404,19970509
992820,99999,BERING SEA 310 NM NORTH OF AD,US,  ,    ,57.05,-177.580,+0000.0,19860117,20081231
992830,99999,DATA BUOY 51005              ,US,  ,    ,20.4,-156.100,+0003.0,19860117,20011029
992840,99999,DATA BUOY 32302              ,US,  ,    ,-18.000,-85.100,+0003.0,19860616,19950403
992850,99999,WEST ORCA BAY 36NM SOUTH SOUT,US,  ,    ,60.58,-146.830,+0000.0,19871118,20081231
992870,99999,ENVIRONM BUOY 62028          ,US,  ,    ,48.7,-8.900,+0000.0,19860605,20080907
992890,99999,ENVIRONM BUOY 62109          ,US,  ,    ,57,0,+0000.0,19870126,20041011
992910,99999,ENVIRONM BUOY 62026          ,US,  ,    ,55.3,1.1,+0000.0,19870126,20030816
992920,99999,ENVIRONM BUOY 23002          ,US,  ,    ,22.5,-59.500,+0000.0,19870514,19991120
992940,99999,DATA BUOY 46038              ,US,  ,    ,41.9,-124.400,+0003.0,19870126,19961102
992950,99999,PT.CONCEPTION  CA - 50NM WEST,US,  ,    ,34.27,-120.660,+0000.0,19880208,20081231
992960,99999,SANTA MARIA - 21 NM NORTHWEST,US,  ,    ,34.88,-120.870,+0000.0,19870405,20081231
992970,99999,ENVIRONM BOUY 46039          ,US,  ,    ,48.2,-123.400,+0003.0,19880311,19960312
992990,99999,DATA BUOY 45010              ,US,  ,    ,43,-87.800,+0180.0,19870404,20020419
993194,99999,SHIP BLOCK 19                ,US,  ,    ,0,0,+0000.0,19780315,19780315
993711,99999,SEWELLS POINT  VA            ,US,VA,    ,36.95,-76.330,+0010.0,20080101,20210605
994006,99999,BIG CARLOS PASS              ,US,FL,    ,26.4,-81.880,+0003.0,20080101,20210605
994007,99999,HONOLULU                     ,US,HI,    ,21.3,-157.870,+0003.0,20080101,20210605
994008,99999,FRED HOWARD PARK             ,US,FL,    ,28.12,-82.800,+0006.0,20080101,20210605
994009,99999,ANCLOTE GULF PARK            ,US,FL,    ,28.18,-82.780,+0006.0,20080101,20130423
994010,99999,SOUTHWEST PASS  LA           ,US,  ,    ,28.9,-89.430,+0000.0,19420901,20210605
994011,99999,ASTORIA                      ,US,OR,    ,46.208,-123.767,+0002.0,20080101,20210605
994012,99999,CRESCENT CITY                ,US,CA,    ,41.745,-124.183,+0004.8,20080101,20210605
994013,99999,CHEERY POINT                 ,US,WA,    ,48.863,-122.758,+0005.0,20080101,20210605
994014,99999,SEATTLE                      ,US,WA,    ,47.605,-122.338,+0002.0,20080101,20190102
994015,99999,FRIDAY HARBOR                ,US,WA,    ,48.547,-123.010,+0002.0,20080101,20210605
994016,99999,SAN FRANCISCO                ,US,CA,    ,37.807,-122.465,+0002.0,20080101,20210605
994017,99999,NORTH SPIT                   ,US,CA,    ,40.767,-124.217,+0002.0,20080101,20210605
994018,99999,LA JOLLA                     ,US,CA,    ,32.867,-117.258,+0002.0,20080101,20210605
994019,99999,MONTEREY                     ,US,CA,    ,36.605,-121.888,+0002.0,20080101,20151231
994020,99999,CHESAPEAKE LIGHT  VA         ,US,VA,    ,36.91,-75.710,+0000.0,19850501,20151231
994021,99999,NEAH BAY                     ,US,WA,    ,48.368,-124.617,+0005.0,20080101,20210605
994022,99999,POINT REYES                  ,US,CA,    ,37.99,-122.975,+0002.0,20080101,20210605
994023,99999,PORT SAN LUIS                ,US,CA,    ,35.177,-120.760,+0002.0,20080101,20210605
994024,99999,PORT ANGELES                 ,US,WA,    ,48.125,-123.440,+0005.0,20080101,20210605
994025,99999,PORT TOWNSEND                ,US,WA,    ,48.112,-122.758,+0005.0,20080101,20210605
994026,99999,SOUTH BEACH                  ,US,OR,    ,44.625,-124.043,+0002.0,20080101,20210605
994027,99999,SAN DIEGO                    ,US,CA,    ,32.713,-117.173,+0002.0,20080101,20210605
994028,99999,SANTA MONICA PIER            ,US,CA,    ,34.008,-118.500,+0002.0,20080101,20210605
994029,99999,TOKE POINT                   ,US,WA,    ,46.708,-123.965,+0005.0,20080101,20210605
994030,99999,DIAMOND SHLS LT.  NC         ,US,  ,    ,35.15,-75.300,+0000.0,19850501,20030729
994031,99999,PORT ORFORD                  ,US,OR,    ,42.74,-124.497,+0008.0,20080101,20210605
994032,99999,CHARLESTON                   ,US,OR,    ,43.345,-124.322,+0002.0,20080101,20210605
994033,99999,ALAMEDA                      ,US,CA,    ,37.772,-122.298,+0002.0,20080101,20210605
994034,99999,PORT CHICAGO                 ,US,CA,    ,38.057,-122.038,+0002.0,20080101,20210605
994035,99999,LOS ANGELES                  ,US,CA,    ,33.72,-118.272,+0002.0,20080101,20210605
994036,99999,RICHMOND                     ,US,CA,    ,37.928,-122.400,+0005.6,20080101,20210605
994037,99999,PHILLIPS OILPLATFOR          ,US,TX,    ,26.95,-94.683,+0010.0,20050419,20100521
994040,99999,FRYING PAN SHOALS  NC        ,US,  ,    ,33.49,-77.590,+0000.0,19850509,20080912
994041,99999,REDWOOD CITY                 ,US,CA,    ,37.507,-122.200,+0006.0,20080101,20210605
994044,99999,ARENA COVE                   ,US,CA,    ,38.92,-123.700,+0002.0,20080101,20210605
994045,99999,APPALACHICOLA                ,US,FL,    ,29.73,-84.980,+0002.0,20080313,20210605
994046,99999,NANTUCKET ISLAND             ,US,MA,    ,41.28,-70.100,+0000.0,20080101,20210605
994047,99999,PENSACOLA                    ,US,FL,    ,30.4,-87.220,+0003.0,20080101,20210605
994048,99999,TACOMA                       ,US,WA,    ,47.267,-122.413,+0005.0,20080101,20210605
994050,99999,LAKE WORTH  FL               ,US,  ,    ,26.61,-80.030,+0000.0,19850501,20210605
994060,99999,MT DESERT ROCK  ME           ,US,ME,    ,43.97,-68.130,+0009.1,19850121,20210605
994061,99999,CHEYBOGAN GLOS WEATHER STATIO,US,MI,    ,45.651,-84.472,+0177.7,20100407,20151028
994062,99999,GREEN BAY ENTRANCE LIGHT     ,US,WI,    ,44.655,-87.902,+0176.0,20100523,20120628
994063,99999,PRESQUE ISLE LIGHT GLOS WEATH,US,MI,    ,45.356,-83.492,+0184.4,20100325,20151028
994064,99999,STURGEON POINT LIGHT GLOS WEA,US,MI,    ,44.713,-83.273,+0184.4,20100325,20151028
994065,99999,TAWAS CITY GLOS WEATHER STATI,US,MI,    ,44.256,-83.443,+0171.6,20100325,20210605
994066,99999,WHITEFISH POINT GLOS WEATHER ,US,MI,    ,46.762,-84.966,+0185.9,20100325,20210605
994070,99999,DESTRUCTION IS.  WA          ,US,WA,    ,47.68,-124.490,+0021.3,19850501,20210605
994080,99999,FIVE FINGER  AK              ,US,  ,    ,57.27,-133.630,+0006.7,19850501,20210605
994081,99999,EAST AMATULI STATION LIGHT  A,US,  ,    ,58.92,-151.950,+0033.2,20040713,20210605
994082,99999,APK - ARIPEKA  FL            ,US,  ,    ,28.43,-82.660,+0000.0,20040713,20210605
994083,99999,NFB - NORTHWEST FLORIDA BAY  ,US,  ,    ,25.08,-81.090,+0000.0,20040713,20151231
994084,99999,PILOT ROCK  AK               ,US,  ,    ,59.74,-149.470,+0024.0,20040713,20210605
994085,99999,PAS -PORT RICHEY  FL         ,US,  ,    ,28.28,-82.730,+0000.0,20040713,20081231
994086,99999,SHP - SHELL POINT  FL        ,US,  ,    ,30.06,-84.290,+0000.0,20040713,20210605
994090,99999,PASSAGE ISLAND  MI           ,US,MI,    ,48.22,-88.370,+0195.4,19850528,20210605
994100,99999,AMBROSE LIGHT  NY            ,US,NY,    ,40.46,-73.830,+0000.0,19850330,20080728
994110,99999,PORT ARANSAS  TX             ,US,  ,    ,27.83,-97.050,+0000.0,19850501,20210605
994120,99999,POINT ARENA  CA              ,US,CA,    ,38.96,-123.740,+0017.4,19850501,20081231
994130,99999,ROCK OF AGES  MI             ,US,MI,    ,47.87,-89.310,+0183.5,19850402,20210605
994140,99999,BUZZARDS BAY  MA             ,US,MA,    ,41.4,-71.030,+0000.0,19850712,20210605
994150,99999,ST. JOHN'S LIGHT             ,US,  ,    ,30.4,-81.400,+0030.0,19850501,19910709
994160,99999,CAPE LOOKOUT  NC             ,US,NC,    ,34.62,-76.520,+0004.6,19850120,20210605
994170,99999,DEERFIELD BEACH              ,US,FL,    ,26.317,-80.083,+0002.0,19850116,20020601
994180,99999,SMITH ISLAND  WA             ,US,  ,    ,48.32,-122.840,+0015.2,19850411,20210605
994190,99999,DEVILS ISLAND  WI            ,US,WI,    ,47.08,-90.730,+0191.7,19850501,20210605
994200,99999,STANNARD ROCK  MI            ,US,MI,    ,47.18,-87.220,+0182.9,19850501,20210605
994210,99999,POINT ARGUELLO  CA           ,US,  ,    ,34.58,-120.650,+0032.3,19430618,20210605
994220,99999,VENICE  FL                   ,US,FL,    ,27.07,-82.450,+0000.0,19850622,20210605
994230,99999,FOLLY ISLAND  SC             ,US,  ,    ,32.68,-79.890,+0003.0,19850501,20210605
994240,99999,CAPE ARAGO  OR               ,US,  ,    ,43.34,-124.380,+0018.0,19850501,20081231
994250,99999,DUNKIRK  NY                  ,US,  ,    ,42.49,-79.350,+0182.9,19850501,20210605
994260,99999,SABINE  TX                   ,US,  ,    ,29.67,-94.050,+0000.9,19850501,20210605
994270,99999,ISLE OF SHOALS  NH           ,US,NH,    ,42.97,-70.620,+0013.1,19850501,20210605
994280,99999,NEWPORT  OR                  ,US,  ,    ,44.61,-124.070,+0009.1,19850501,20210605
994290,99999,GRAND ISLE  LA               ,US,  ,    ,29.27,-89.960,+0001.8,19850501,20041231
994300,99999,TATOOSH ISLAND  WA           ,US,  ,    ,48.39,-124.740,+0030.8,19850501,20171024
994310,99999,ALLIGATOR REEF               ,US,  ,    ,24.9,-80.600,+0000.0,19850123,20020118
994320,99999,GALLOO ISLAND  NY            ,US,  ,    ,43.89,-76.450,+0105.0,19850501,20020930
994330,99999,SHEBOYGAN  WI                ,US,  ,    ,43.75,-87.690,+0175.9,19850501,20210605
994340,99999,SOUTH BASS ISLAND  OH        ,US,OH,    ,41.63,-82.840,+0176.8,19850501,20201231
994350,99999,WEST POINT  WA               ,US,  ,    ,47.66,-122.440,+0003.0,19850501,20210605
994360,99999,CAPE SAN BLAS  FL            ,US,  ,    ,29.67,-85.360,+0001.8,19850501,20040907
994370,99999,MATINICUS ROCK  ME           ,US,  ,    ,43.78,-68.860,+0016.2,19850302,20210110
994380,99999,SAVANNAH LIGHT  GA           ,US,  ,    ,31.95,-80.680,+0030.0,19850517,20020525
994390,99999,SETTLEMENT POINT  GBI        ,US,  ,    ,26.7,-79.000,+0001.5,19851203,20210605
994400,99999,THOMAS POINT  MD             ,US,  ,    ,38.9,-76.440,+0000.0,19851205,20210605
994410,99999,ST. AUGUSTINE  FL            ,US,  ,    ,29.86,-81.260,+0000.0,19870122,20210605
994420,99999,DAUPHIN ISLAND  AL           ,US,  ,    ,30.25,-88.070,+0000.0,19870219,20210605
994430,99999,MOLASSES REEF  FL            ,US,  ,    ,25.01,-80.380,+0000.0,19880929,20190406
994440,99999,MAIN PASS                    ,US,  ,    ,29.4,-88.600,+0010.0,19880929,20010813
994450,99999,SOMBRERO KEY  FL             ,US,FL,    ,24.63,-81.110,+0000.0,19880929,20210605
994460,99999,SOUTHERN OPEN SOUND  NY      ,US,  ,    ,41,-73.100,+0000.0,19891108,20081231
994470,99999,GARDEN BANKS                 ,US,  ,    ,27.8,-93.100,+0010.0,19900112,19920720
994490,99999,UJAE ATOLL  MARSHALL         ,US,  ,    ,8.93,165.75,+0010.0,19900322,19950530
994500,99999,MILI  MARSHALLS IS.          ,US,  ,    ,6.1,172.1,+0010.0,19901214,19970830
994510,99999,SABINE                       ,US,TX,    ,29.667,-94.050,+0005.0,19900913,20020219
994530,99999,EBON ATOLL  CAROLINE         ,US,  ,    ,4.6,168.7,+0010.0,19900914,20000229
994550,99999,ALEXANDRIA BAY  NY           ,US,  ,    ,44.33,-75.930,+0076.2,19950103,20081231
994560,99999,FOWEY ROCKS  FL              ,US,  ,    ,25.59,-80.100,+0000.0,19940901,20210605
994570,99999,SAND KEY  FL                 ,US,  ,    ,24.46,-81.880,+0000.0,19941007,20210605
994580,99999,SUPERIOR SHOALS  NY          ,US,  ,    ,44.47,-75.800,+0077.4,19941007,20081231
994590,99999,THOUSAND I. BRDG.  NY        ,US,NY,    ,44.3,-75.980,+0075.6,19941007,20081231
994610,99999,DUCK PIER  NC                ,US,NC,    ,36.18,-75.750,+0000.0,20020219,20080731
994620,99999,LONG KEY  FL                 ,US,FL,    ,24.84,-80.860,+0000.0,20020219,20210605
994630,99999,DRY TORTUGAS  FL             ,US,FL,    ,24.64,-82.860,+0000.0,20020219,20040813
994640,99999,CEDAR KEY                    ,US,FL,    ,29.14,-83.030,+0001.8,20020222,20210605
994650,99999,KEATON BEACH                 ,US,FL,    ,29.82,-83.590,+0001.8,20020219,20210605
994660,99999,POTATO POINT                 ,US,AK,    ,61.06,-146.700,+0007.0,20020219,20210605
994670,99999,MIDDLE ROCK LIGHT            ,US,AK,    ,61.08,-146.660,+0000.0,20020219,20210605
994680,99999,BLIGH REEF LIGHT             ,US,AK,    ,60.84,-146.880,+0000.0,20020219,20210605
994690,99999,DRIFT RIVER TERMINAL         ,US,AK,    ,60.55,-152.140,+0015.9,20020219,20190407
994700,99999,AUGUSTINE ISLAND             ,US,AK,    ,59.38,-153.350,+0009.1,20020703,20210605
994710,99999,068: BAFFIN BAY; POINT OF ROC,US,TX,    ,27.3,-97.420,+0000.0,20040608,20210605
994720,99999,FLAT ISLAND LIGHT            ,US,AK,    ,59.33,-151.990,+0017.9,20040608,20210605
994730,99999,GALVESTON PLEASURE PIER; GULF,US,TX,    ,29.29,-94.790,+0000.0,20040608,20041214
994740,99999,HOM - HOMOSASSA  FL          ,US,  ,    ,28.77,-82.710,+0000.0,20040608,20081231
994750,99999,NEW LONDON LEDGE - LEDGE LIGH,US,CT,    ,41.31,-72.080,+0020.0,20040608,20210605
994760,99999,WESTERN LAKE PONCHARTRAIN  LA,US,LA,    ,30.31,-90.280,+0000.0,20040608,20081228
994770,99999,LAKE ST CLAIR  MI            ,US,MI,    ,42.47,-82.760,+0178.5,20040608,20081231
994780,99999,LUMCON MARINE CENTER  LA     ,US,LA,    ,29.25,-90.660,+0000.0,20040608,20210605
994790,99999,MATAGORDA BAY; PORT O'CONNOR ,US,TX,    ,28.45,-96.400,+0009.0,20040608,20210605
994800,99999,RINCON DEL SAN JOSE; POTRERO ,US,TX,    ,26.8,-97.470,+0000.0,20040608,20210605
994810,99999,100: RTNS OFFSHORE  TX       ,US,  ,    ,27.76,-96.980,+0000.0,20040729,20041231
994820,99999,TYNDALL AFB TOWER C (N4)  FL ,US,  ,    ,29.41,-84.860,+0000.0,20040608,20210605
994830,99999,U.S. NAVY TOWER R2           ,US,GA,    ,31.38,-80.570,+0050.0,20040608,20081221
994840,99999,TAMBOUR BAY  LA              ,US,  ,    ,29.19,-90.670,+0000.0,20040608,20080819
994850,99999,TERREBONNE BAY  LA           ,US,  ,    ,29.17,-90.580,+0000.0,20080606,20080830
994860,99999,U.S. NAVY TOWER R8           ,US,GA,    ,31.633,-79.917,+0034.0,20040608,20080415
994870,99999,EGK - EGMONT KEY  FL         ,US,  ,    ,27.6,-82.760,+0000.0,20040803,20131231
994880,99999,ANM - ANNA MARIA  FL         ,US,  ,    ,27.54,-82.740,+0000.0,20040803,20130430
994890,99999,BRIDGEPORT TERMINAL          ,US,CT,    ,41.183,-73.183,+0016.0,20040803,20081231
994900,99999,NORTH MIDDLE SOUND           ,US,CT,    ,41.07,-73.130,+0016.0,20040803,20081231
994910,99999,FAYERWEATHER ISLAND          ,US,CT,    ,41.15,-73.170,+0016.0,20040803,20081231
994920,99999,NORTH CENTRAL SOUND          ,US,CT,    ,41.1,-73.150,+0016.0,20040803,20081231
994930,99999,SOUTH MIDDLE SOUND           ,US,NY,    ,41.05,-73.120,+0016.0,20040803,20081231
994940,99999,OLD FIELD ISLAND  NY         ,US,  ,    ,40.97,-73.080,+0000.0,20040803,20081231
994950,99999,NORTHERN OPEN SOUND  CT      ,US,CT,    ,41.12,-73.160,+0016.0,20040803,20081231
994951,99999,SEBASTIAN INLET STATE PARK   ,US,FL,    ,27.862,-80.445,+0010.0,20130401,20210425
994960,99999,PORT JEFFERSON  NY           ,US,  ,    ,40.95,-73.070,+0000.0,20040803,20081230
994970,99999,SOUTH CENTRAL SOUND  NY      ,US,  ,    ,41.02,-73.110,+0000.0,20040803,20081231
994971,99999,BOSTON                       ,US,MA,    ,42.35,-71.050,+0000.0,20080101,20210605
994972,99999,ALGOMA CITY MARINA           ,US,WI,    ,44.6,-87.430,+0185.0,20080101,20170529
994973,99999,N PIER  DEATHS DOOR          ,US,WI,    ,45.28,-86.980,+0188.0,20080207,20210605
994974,99999,YACHT WORKS SISTER           ,US,WI,    ,45.2,-87.120,+0181.0,20080101,20170530
994975,99999,BEAUFORT  NC                 ,US,NC,    ,34.2,-76.670,+0010.0,20080101,20210605
994976,99999,GB ENTRANCE LIGHT            ,US,WI,    ,44.65,-87.900,+0201.0,20080101,20081231
994977,99999,GRAND ISLE                   ,US,LA,    ,29.27,-89.950,+0010.0,20080111,20210605
994979,99999,GRAVELLY SHOALS              ,US,MI,    ,44.02,-83.530,+0204.0,20080101,20210605
994980,99999,CAPE ELIZABETH- 45NM WEST OF ,US,  ,    ,47.34,-124.750,+0000.0,20040907,20081231
995000,99999,MOBILE SOUTH 64 NM SOUTH OF D,US,  ,    ,29.18,-88.210,+0000.0,20020409,20081231
995060,99999,PLATFORM NO. 62116           ,US,  ,    ,57.7,1.4,+0000.0,19890510,20081231
995070,99999,PLATFORM NO. 62115           ,US,  ,    ,58.05,-3.050,+0000.0,19890504,20041011
